# Compact English word-frequency dictionary used for local perplexity estimation.
# Format: word<TAB>log10(frequency per million tokens).
# Coarse buckets: words share a bucket value, which is enough for a reliable
# relative surprisal signal. Tokens missing from this file are treated as rare
# (log-frequency 0.0). Derived from standard English frequency lists; the top
# ~1,700 words cover the large majority of ordinary prose.
# Bucket 7.0 - the most common words in English
the	7.0
of	7.0
and	7.0
to	7.0
in	7.0
a	7.0
is	7.0
that	7.0
for	7.0
it	7.0
was	7.0
on	7.0
as	7.0
with	7.0
by	7.0
at	7.0
be	7.0
this	7.0
from	7.0
are	7.0
or	7.0
have	7.0
an	7.0
not	7.0
but	7.0
they	7.0
you	7.0
his	7.0
her	7.0
she	7.0
he	7.0
we	7.0
i	7.0
all	7.0
one	7.0
will	7.0
would	7.0
there	7.0
their	7.0
what	7.0
which	7.0
when	7.0
who	7.0
so	7.0
if	7.0
can	7.0
more	7.0
been	7.0
do	7.0
no	7.0
up	7.0
out	7.0
them	7.0
then	7.0
than	7.0
about	7.0
into	7.0
some	7.0
could	7.0
also	7.0
other	7.0
may	7.0
these	7.0
over	7.0
new	7.0
first	7.0
after	7.0
its	7.0
two	7.0
how	7.0
# Bucket 6.5
man	6.5
like	6.5
way	6.5
even	6.5
where	6.5
most	6.5
through	6.5
many	6.5
much	6.5
well	6.5
such	6.5
only	6.5
very	6.5
own	6.5
any	6.5
back	6.5
just	6.5
because	6.5
us	6.5
our	6.5
get	6.5
make	6.5
time	6.5
work	6.5
good	6.5
know	6.5
people	6.5
world	6.5
year	6.5
day	6.5
great	6.5
should	6.5
those	6.5
too	6.5
use	6.5
life	6.5
thing	6.5
right	6.5
look	6.5
think	6.5
want	6.5
really	6.5
another	6.5
still	6.5
come	6.5
give	6.5
take	6.5
say	6.5
need	6.5
find	6.5
hand	6.5
part	6.5
place	6.5
go	6.5
put	6.5
long	6.5
little	6.5
house	6.5
home	6.5
water	6.5
food	6.5
end	6.5
again	6.5
old	6.5
while	6.5
same	6.5
different	6.5
large	6.5
small	6.5
big	6.5
high	6.5
low	6.5
important	6.5
best	6.5
better	6.5
every	6.5
both	6.5
few	6.5
each	6.5
must	6.5
last	6.5
never	6.5
next	6.5
night	6.5
left	6.5
young	6.5
early	6.5
late	6.5
open	6.5
close	6.5
start	6.5
stop	6.5
turn	6.5
run	6.5
set	6.5
keep	6.5
let	6.5
seem	6.5
show	6.5
mean	6.5
book	6.5
school	6.5
money	6.5
story	6.5
state	6.5
country	6.5
city	6.5
town	6.5
group	6.5
family	6.5
child	6.5
children	6.5
woman	6.5
women	6.5
girl	6.5
boy	6.5
friend	6.5
father	6.5
mother	6.5
brother	6.5
sister	6.5
son	6.5
daughter	6.5
name	6.5
word	6.5
line	6.5
side	6.5
top	6.5
bottom	6.5
front	6.5
middle	6.5
hour	6.5
minute	6.5
week	6.5
month	6.5
ago	6.5
today	6.5
tomorrow	6.5
yesterday	6.5
now	6.5
then	6.5
here	6.5
away	6.5
down	6.5
off	6.5
above	6.5
below	6.5
under	6.5
before	6.5
since	6.5
until	6.5
during	6.5
without	6.5
against	6.5
between	6.5
among	6.5
across	6.5
behind	6.5
beyond	6.5
within	6.5
upon	6.5
toward	6.5
towards	6.5
near	6.5
far	6.5
# Bucket 6.0
always	6.0
enough	6.0
almost	6.0
sometimes	6.0
often	6.0
usually	6.0
maybe	6.0
perhaps	6.0
probably	6.0
certainly	6.0
actually	6.0
already	6.0
together	6.0
around	6.0
again	6.0
however	6.0
although	6.0
though	6.0
instead	6.0
rather	6.0
either	6.0
neither	6.0
whether	6.0
while	6.0
yet	6.0
still	6.0
once	6.0
twice	6.0
three	6.0
four	6.0
five	6.0
ten	6.0
hundred	6.0
thousand	6.0
million	6.0
billion	6.0
number	6.0
numbers	6.0
many	6.0
much	6.0
lot	6.0
lots	6.0
bit	6.0
piece	6.0
pieces	6.0
part	6.0
parts	6.0
whole	6.0
full	6.0
half	6.0
third	6.0
quarter	6.0
second	6.0
minute	6.0
hour	6.0
week	6.0
month	6.0
year	6.0
day	6.0
night	6.0
morning	6.0
afternoon	6.0
evening	6.0
weekend	6.0
holiday	6.0
vacation	6.0
summer	6.0
winter	6.0
spring	6.0
fall	6.0
season	6.0
weather	6.0
sun	6.0
moon	6.0
star	6.0
sky	6.0
cloud	6.0
rain	6.0
snow	6.0
wind	6.0
earth	6.0
ground	6.0
land	6.0
sea	6.0
ocean	6.0
river	6.0
lake	6.0
mountain	6.0
hill	6.0
tree	6.0
forest	6.0
plant	6.0
animal	6.0
dog	6.0
cat	6.0
bird	6.0
fish	6.0
horse	6.0
cow	6.0
body	6.0
head	6.0
face	6.0
eye	6.0
eyes	6.0
ear	6.0
nose	6.0
mouth	6.0
hair	6.0
hand	6.0
hands	6.0
arm	6.0
leg	6.0
foot	6.0
feet	6.0
finger	6.0
heart	6.0
blood	6.0
skin	6.0
bone	6.0
voice	6.0
sound	6.0
music	6.0
song	6.0
color	6.0
colour	6.0
red	6.0
blue	6.0
green	6.0
white	6.0
black	6.0
yellow	6.0
brown	6.0
dark	6.0
light	6.0
bright	6.0
clear	6.0
clean	6.0
dirty	6.0
hot	6.0
cold	6.0
warm	6.0
cool	6.0
soft	6.0
hard	6.0
easy	6.0
difficult	6.0
simple	6.0
strong	6.0
weak	6.0
fast	6.0
slow	6.0
quick	6.0
heavy	6.0
light	6.0
thin	6.0
thick	6.0
wide	6.0
narrow	6.0
deep	6.0
shallow	6.0
short	6.0
tall	6.0
round	6.0
square	6.0
flat	6.0
sharp	6.0
smooth	6.0
rough	6.0
wet	6.0
dry	6.0
fresh	6.0
sweet	6.0
sour	6.0
bitter	6.0
